epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,259.699,1.00792,0.72191,0.85076,0.88157,0.92229,0.95377,0.65439,1.0146,0.69093,0.92012,0.0005348,0.0005348,0.0005348
76,262.95,0.96587,0.69873,0.86948,0.9189,0.90265,0.95921,0.63552,1.01242,0.70044,0.92479,0.000515,0.000515,0.000515
77,266.235,1.00556,0.71027,0.8758,0.88865,0.84071,0.92932,0.63382,1.06053,0.70248,0.93372,0.0004952,0.0004952,0.0004952
78,269.487,0.98613,0.67909,0.87738,0.952,0.8775,0.9611,0.63704,1.06944,0.65528,0.93016,0.0004754,0.0004754,0.0004754
79,272.738,0.97152,0.67355,0.87798,0.90532,0.93084,0.96412,0.64485,1.05373,0.65167,0.93082,0.0004556,0.0004556,0.0004556
80,275.992,0.96769,0.65999,0.86923,0.90876,0.90265,0.95626,0.64918,1.06265,0.66574,0.92464,0.0004358,0.0004358,0.0004358
81,279.251,0.96849,0.66864,0.86799,0.93229,0.89381,0.96289,0.6543,1.06051,0.6414,0.92334,0.000416,0.000416,0.000416
82,282.49,0.99098,0.68527,0.87074,0.92777,0.87611,0.95068,0.64835,1.02101,0.67232,0.92117,0.0003962,0.0003962,0.0003962
83,285.742,0.96191,0.67713,0.86553,0.95995,0.8485,0.95935,0.6397,1.08598,0.64839,0.92676,0.0003764,0.0003764,0.0003764
84,289.013,0.94588,0.65948,0.86248,0.91911,0.87611,0.95257,0.66401,1.00815,0.68154,0.92499,0.0003566,0.0003566,0.0003566
85,292.417,0.92632,0.66684,0.86024,0.87978,0.9292,0.95567,0.65345,1.01504,0.64123,0.91617,0.0003368,0.0003368,0.0003368
86,295.655,0.94766,0.64605,0.85445,0.92942,0.87611,0.96504,0.62273,1.05578,0.63691,0.92441,0.000317,0.000317,0.000317
87,298.902,0.91707,0.63406,0.85517,0.91857,0.92035,0.96752,0.66176,1.00747,0.62432,0.92345,0.0002972,0.0002972,0.0002972
88,302.146,0.90423,0.64498,0.85679,0.89809,0.93589,0.96006,0.65773,1.00136,0.61955,0.92136,0.0002774,0.0002774,0.0002774
89,305.395,0.9405,0.63244,0.8583,0.90898,0.88377,0.95665,0.65402,0.99367,0.63394,0.91422,0.0002576,0.0002576,0.0002576
90,308.649,0.92181,0.64896,0.85754,0.96826,0.88496,0.96966,0.66775,0.99964,0.60278,0.91363,0.0002378,0.0002378,0.0002378
