epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,625.373,1.32201,0.85828,0.94941,0.82589,0.84956,0.9225,0.55057,1.24462,0.75771,0.97791,0.0014654,0.0014654,0.0014654
56,636.129,1.34633,0.83969,0.97516,0.83517,0.82301,0.90345,0.55986,1.25609,0.79176,0.98253,0.0014555,0.0014555,0.0014555
57,646.886,1.352,0.78737,0.93631,0.8076,0.87611,0.91782,0.54749,1.24431,0.77676,0.94212,0.0014456,0.0014456,0.0014456
58,657.624,1.29582,0.79284,0.97647,0.86115,0.81416,0.91027,0.56543,1.16566,0.77499,0.96771,0.0014357,0.0014357,0.0014357
59,668.37,1.33932,0.8182,0.97993,0.86762,0.81204,0.91009,0.56964,1.21535,0.73889,0.96902,0.0014258,0.0014258,0.0014258
60,679.114,1.30058,0.80615,0.98509,0.84303,0.75221,0.85776,0.48284,1.32706,0.88046,1.02168,0.0014159,0.0014159,0.0014159
61,689.898,1.27231,0.80769,0.94035,0.72756,0.82717,0.87839,0.53388,1.21001,0.82721,0.97203,0.001406,0.001406,0.001406
62,700.667,1.2893,0.82969,0.95024,0.85609,0.74336,0.88488,0.5475,1.20733,0.80136,0.99189,0.0013961,0.0013961,0.0013961
63,711.441,1.27963,0.80102,0.96607,0.81412,0.85274,0.8977,0.5289,1.2529,0.79742,0.99337,0.0013862,0.0013862,0.0013862
64,722.209,1.30851,0.82391,0.94907,0.88353,0.86726,0.93252,0.56806,1.21492,0.76682,0.9586,0.0013763,0.0013763,0.0013763
65,732.965,1.31252,0.78193,0.95525,0.83113,0.82756,0.91069,0.55858,1.18042,0.77193,0.94963,0.0013664,0.0013664,0.0013664
66,743.724,1.29769,0.80842,0.95353,0.79563,0.88496,0.9136,0.58003,1.13608,0.74244,0.94921,0.0013565,0.0013565,0.0013565
67,755.579,1.30471,0.80567,0.9552,0.79762,0.76731,0.85801,0.50723,1.4368,0.85856,0.97245,0.0013466,0.0013466,0.0013466
68,766.344,1.28244,0.76716,0.95188,0.79473,0.89381,0.90934,0.57898,1.15783,0.75438,0.96715,0.0013367,0.0013367,0.0013367
69,777.126,1.21684,0.75148,0.93242,0.87839,0.83095,0.90806,0.59135,1.13449,0.73636,0.93681,0.0013268,0.0013268,0.0013268
70,788.966,1.22414,0.76314,0.92943,0.89027,0.7898,0.91614,0.61307,1.05918,0.73777,0.94385,0.0013169,0.0013169,0.0013169
71,800.829,1.16811,0.74896,0.95266,0.86634,0.80308,0.91881,0.5821,1.13196,0.71344,0.95231,0.001307,0.001307,0.001307
72,811.589,1.27754,0.79803,0.93209,0.83216,0.78978,0.88118,0.56558,1.21042,0.78621,0.95825,0.0012971,0.0012971,0.0012971
73,822.579,1.2562,0.76247,0.92806,0.83023,0.81416,0.88064,0.5534,1.2547,0.83469,0.96473,0.0012872,0.0012872,0.0012872
74,833.476,1.26239,0.75422,0.9395,0.88221,0.77876,0.90266,0.57772,1.18428,0.74988,0.95915,0.0012773,0.0012773,0.0012773
75,844.513,1.27358,0.75346,0.92107,0.91279,0.81416,0.93341,0.57755,1.20961,0.7179,0.98916,0.0012674,0.0012674,0.0012674
76,855.468,1.23178,0.73523,0.92979,0.8615,0.85841,0.93738,0.56065,1.2333,0.72715,0.95509,0.0012575,0.0012575,0.0012575
77,866.531,1.22734,0.77227,0.93356,0.88062,0.84956,0.92428,0.60149,1.10653,0.69361,0.95369,0.0012476,0.0012476,0.0012476
78,877.55,1.24773,0.76545,0.93148,0.87917,0.76991,0.91006,0.54249,1.2877,0.76054,0.94699,0.0012377,0.0012377,0.0012377
79,888.533,1.22975,0.76309,0.93487,0.86419,0.84467,0.9123,0.56994,1.12329,0.75904,0.94889,0.0012278,0.0012278,0.0012278
80,899.468,1.21527,0.74005,0.92274,0.82517,0.76991,0.8974,0.56699,1.1201,0.77576,0.92819,0.0012179,0.0012179,0.0012179
81,910.385,1.24239,0.76019,0.93297,0.85338,0.77264,0.87453,0.53543,1.16857,0.76651,0.95353,0.001208,0.001208,0.001208
82,921.309,1.22107,0.75131,0.92107,0.89043,0.80531,0.91645,0.56683,1.16812,0.716,0.95312,0.0011981,0.0011981,0.0011981
83,932.229,1.20808,0.73451,0.92735,0.86515,0.82301,0.91238,0.60346,1.11866,0.72209,0.9382,0.0011882,0.0011882,0.0011882
84,943.352,1.20077,0.7215,0.90933,0.83792,0.86924,0.92489,0.6049,1.06315,0.70005,0.94195,0.0011783,0.0011783,0.0011783
85,954.151,1.10201,0.70923,0.91592,0.87221,0.84562,0.92733,0.5902,1.14534,0.7086,0.948,0.0011684,0.0011684,0.0011684
86,965.037,1.15505,0.71786,0.92071,0.79439,0.92035,0.93132,0.58661,1.17756,0.74857,0.95338,0.0011585,0.0011585,0.0011585
87,976.027,1.16845,0.73063,0.91815,0.8895,0.78359,0.8995,0.57671,1.12287,0.76068,0.92887,0.0011486,0.0011486,0.0011486
